mz,rt,into,pcgroup
80.00624847,7.95805,1771.900212,11152
80.00800323,28.686,3652.606533,2909
80.01279449,28.7035,4598.126257,2910
80.01323906,7.164733333,2494.724458,7078
80.01702881,23.5165,703.6943644,15187
80.0363023,6.599633333,12733.85828,10745
80.03629101,6.902066667,16228.18112,15479
80.03627406,7.053483333,48427.31349,59
80.036425,5.984583333,24970.92064,5601
80.03637203,5.90385,23741.39741,9210
80.03629625,5.822483333,24623.40041,6991
80.03637521,8.401533333,22034.69279,98
80.03630167,6.5646,11738.14011,488
80.03635488,6.496933333,36063.45835,5404
80.03629273,10.13823333,10955.91523,10362
80.03632698,7.975566667,27798.80611,11143
80.03634331,13.50805,6280.398546,16350
80.03636899,8.502433333,18702.19511,15291
80.04312397,6.166433333,967.9284622,6785
80.04488373,7.040333333,1380.86409,6021
80.04950311,7.053483333,6120048.237,59
80.0495184,5.822483333,4882890.876,7001
80.04955331,6.422483333,1248321.473,7034
80.04951874,6.260566667,1276748.398,6864
80.04954717,6.16205,3938970.516,88
80.04952731,7.09905,2571168.923,6348
80.04954646,6.094066667,2606636.566,89
80.04954698,6.479416667,3463143.955,5405
80.04954809,6.320016667,4394111.812,6698
80.04955048,7.164733333,2684512.579,7082
80.04954252,5.984583333,3738509.465,5602
80.04952442,5.921366667,2514170.526,93
80.04954627,7.383733333,1666721.822,7583
80.04953878,6.829466667,3580176.208,7268
80.04954674,6.76605,3129850.238,7207
80.04952746,9.464116667,887718.1331,7064
80.04952264,9.802966667,925415.445,8340
80.04952401,13.44541667,976591.7304,3
80.04951854,6.695983333,2353668.353,7184
80.0495351,8.831183333,1029608.746,8027
80.04952741,9.37405,861174.6252,142
80.04954526,6.919583333,1599118.142,7431
80.05447212,7.064016667,4211.46365,59
80.05436344,7.752033333,1400.66138,159
80.05435944,7.208516667,1209.367885,9433
80.05451965,7.09905,1480.806269,6353
80.05702972,7.009683333,2002.559354,4714
80.05764417,29.69433333,54326.02178,10
80.05770601,23.121,61096.53114,14
80.05767992,23.246,54991.10348,12
80.05764897,24.061,46085.77962,80
80.0576043,26.66633333,4248.646786,75
80.05763514,39.9925,6287.793741,9531
80.05754089,23.94983333,2510.495911,4415
80.05761171,22.36916667,2791.237837,1732
80.05755145,5.879416667,4914.702599,16658
80.05764157,23.50333333,2344.900512,42
80.05762972,14.70221667,2012.056341,28
80.05761474,16.46513333,5277.818799,8153
80.0575511,6.238683333,4096.699923,6392
80.05765528,38.0695,4329.880126,1158
80.0576146,39.52233333,5113.614062,145
80.05761696,38.77783333,4184.105674,18380
80.05757106,14.63053333,2289.988747,19060
80.05746526,5.8181,2310.743482,94
80.05757582,7.49395,2685.431279,10527
80.05764225,34.72166667,2655.21168,1438
80.06212086,23.2415,173854.7038,12
80.06207932,29.68116667,82424.78861,10
80.06214413,26.27783333,75830.24377,26
80.06212068,24.06533333,61970.3801,80
80.06217215,23.121,35616.92223,14
80.06210982,23.58366667,14819.36218,34
80.06264952,7.05785,51693.74119,59
80.06269493,5.826866667,24529.61636,94
80.06267395,5.9126,29595.83901,93
80.06276326,5.984583333,38435.41724,5580
80.06271203,7.982216667,16989.12936,17791
80.06271217,8.49805,25569.37968,15292
80.06272008,7.895,19859.33452,36
80.06275279,8.385833333,15257.01642,11939
80.06276695,6.5646,16494.49399,15033
80.06278247,6.496933333,27187.26795,38
80.06276957,6.157683333,11994.29755,6791
80.06283667,6.983416667,12838.70154,8570
80.06277124,6.201466667,15584.91335,47
80.06273473,6.328783333,13282.74122,85
80.06276108,13.56676667,4849.811006,12963
80.06461334,7.940533333,5815.241461,3168
80.07842255,5.925733333,2560.956111,6919
80.08293915,20.09216667,5114.875573,2479
80.09804535,8.45845,29416.09311,2010
80.10716248,20.08333333,3822.498063,2480
80.11066437,17.4555,3691.93359,3300
80.11636353,29.69433333,4011.378783,3433
80.12974548,20.0965,4260.032311,2481
80.13082886,20.10966667,2736.698867,18135
80.13401794,20.08783333,4554.161657,2482
80.14066315,23.52966667,1278.847345,3682
80.14870934,7.940533333,7348.7498,8
80.15233612,7.923016667,2198.583871,12520
80.15668488,23.534,1845.371981,3683
80.16378021,5.930116667,6225.722768,6920
80.16869354,6.53635,6344.233146,2345
80.16970062,23.96733333,1408.72457,14416
80.18440247,18.24516667,3773.516777,3989
80.18623352,20.079,3241.870179,2483
80.19646454,23.11216667,1649.58249,4115
80.20993042,23.54716667,1872.022651,3684
80.24264526,23.534,1505.920785,3685
80.25063324,8.436566667,11838.0965,8694
80.26880646,7.949283333,4408.577935,3169
80.27958402,23.95416667,50594.442,17
80.30931091,20.9555,7699.221191,2669
80.31455231,20.94233333,4637.574648,7368
80.32163239,6.531966667,8163.418359,2346
80.32408142,20.10966667,2567.974463,18136
80.32815552,13.44541667,3172.873435,2208
80.3501358,5.925733333,3244.391309,6921
80.36656189,20.95983333,7782.614538,2670
80.3826828,23.52083333,830.1593481,15188
80.38560486,13.4717,1922.536219,10969
80.42916107,20.92916667,1634.309822,9772
80.43065361,23.12966667,27491.88306,14
80.44203186,7.9274,2944.835488,12913
80.45586395,8.41905,1318.395053,7100
80.46565247,21.29716667,652.7105623,9732
80.46681976,7.949283333,4542.425297,3170
80.48241425,29.69,4998.201934,3434
80.5235419,23.95416667,18353.04825,17
80.52622223,20.938,2610.448021,14069
80.52770996,23.94983333,1520.41119,4416
80.53161621,20.99166667,1213.078577,11376
80.53659943,28.69483333,41294.63943,7
80.54138184,18.24083333,4100.326807,3990
80.55041504,20.10083333,4398.982591,2484
80.55982208,21.32916667,906.4150635,5766
80.58319092,17.46866667,3010.6954,11212
80.60801697,8.423416667,2992.660888,8695
80.60999298,26.28216667,1809.938346,4892
80.61764526,6.53635,6901.476375,2347
80.63506317,8.4716,20510.28544,8803
80.63735962,5.94325,21143.05666,1873
80.6410675,13.46731667,2419.980272,10970
80.66474152,13.00671667,1588.664384,4617
80.66753387,7.95805,1937.623383,11153
80.68821716,6.527583333,5177.384429,2348
80.7049942,17.473,2408.748224,11213
80.72348022,5.96515,3874.667823,8257
80.72727966,28.7035,5081.376549,2911
80.72783661,20.10533333,3934.952788,2485
80.77919769,23.23716667,2681.132642,3838
80.78707886,13.44541667,2741.979233,2209
80.79341888,5.96515,4369.53644,8258
80.81977081,23.11216667,1679.256351,4116
80.84109497,13.46293333,2709.757316,2210
80.86168671,23.15283333,988.4975037,10102
80.8883667,20.0965,4806.888724,2486
80.90048554,7.901116667,1530.014399,36
80.90599823,17.4775,1639.299631,11214
80.91510773,15.2019,1342.209096,5085
80.92449188,23.54283333,1767.028771,3686
80.93448151,23.23283333,15714.27824,12
80.93666077,7.940533333,4969.782615,3171
80.93678393,10.57011667,7973.49544,24
80.9412384,26.2865,1718.62147,4893
80.94462585,8.4716,20111.91248,8804
80.95736694,12.99796667,1504.91244,4618
80.97206116,20.97733333,5866.69,2671
80.97694397,23.52966667,1433.422083,3687
80.99762726,23.246,2910.307007,3839
81.0065918,18.2495,3327.860085,12439
81.00993347,18.254,2055.170691,12440
81.0284729,20.973,7940.205518,2672
81.03349304,15.29113333,3451.393863,6659
81.03349304,14.75223333,1600.299042,12236
81.03347015,21.32466667,1469.736157,5767
81.03358834,28.686,944485.937,7
81.03357458,15.22818333,210845.8256,120
81.0335943,34.412,142155.907,64
81.03355254,14.65841667,81530.30785,28
